locus_tag	ftype	length_bp	gene	EC_number	COG	product
EMFGFLLL_00001	CDS	1338	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
EMFGFLLL_00002	CDS	405				hypothetical protein
EMFGFLLL_00003	CDS	1107	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
EMFGFLLL_00004	CDS	816	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
EMFGFLLL_00005	CDS	432	csdE		COG2166	Sulfur acceptor protein CsdE
EMFGFLLL_00006	CDS	1212	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase SufS
EMFGFLLL_00007	CDS	606	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
EMFGFLLL_00008	CDS	891	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
EMFGFLLL_00009	CDS	810				hypothetical protein
EMFGFLLL_00010	CDS	582				hypothetical protein
EMFGFLLL_00011	CDS	585	rpoE_1		COG1595	ECF RNA polymerase sigma factor RpoE
EMFGFLLL_00012	CDS	681	chrR		COG3806	Anti-sigma-E factor ChrR
EMFGFLLL_00013	CDS	1389	ampG		COG0477	Anhydromuropeptide permease
EMFGFLLL_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
EMFGFLLL_00015	CDS	576				hypothetical protein
EMFGFLLL_00016	CDS	1131	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
EMFGFLLL_00017	CDS	321	bolA		COG0271	DNA-binding transcriptional regulator BolA
EMFGFLLL_00018	CDS	1341	nqrA	7.2.1.1	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
EMFGFLLL_00019	CDS	1248	nqrB	7.2.1.1	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
EMFGFLLL_00020	CDS	774	nqrC	7.2.1.1	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
EMFGFLLL_00021	CDS	633	nqrD	7.2.1.1	COG1347	Na(+)-translocating NADH-quinone reductase subunit D
